RPM,Torque,Efficiency
273.86,65.956,86
285.27,54.435,86
334.72,42.339,86
460.24,33.986,86
604.77,27.938,86
741.7,23.329,86
931.88,20.161,86
1144.9,19.009,86
1380.7,17.857,86
1627.9,16.417,86
1852.4,16.705,86
2073,16.417,86
2293.6,15.265,86
2590.2,15.841,86
2860.3,16.705,86
3130.4,17.281,86
3366.2,17.857,86
3636.2,19.585,86
3875.9,21.889,86
4039.4,23.906,86
4244.8,29.954,86
4389.3,34.85,86
4568.1,41.187,86
4731.7,48.675,86
4906.6,57.604,86
5062.6,66.244,86
5214.7,77.477,86
5344.1,87.846,86
5450.6,99.078,86
5503.8,106.28,86
5678.8,123.27,86
5842.3,149.48,86
5933.6,165.61,86
5933.6,189.52,86
5891.8,213.42,86
5781.5,225.52,86
5541.8,241.36,86
5507.6,245.39,86
5344.1,245.68,86
5119.6,245.97,86
4883.8,245.68,86
4678.4,245.68,86
4423.6,245.97,86
4187.8,245.68,86
3990,245.1,86
3807.4,246.26,86
3624.8,246.26,86
3389,245.1,86
3187.4,245.68,86
3035.3,245.39,86
2856.5,245.97,86
2609.3,245.1,86
2377.2,245.68,86
2160.4,245.39,86
1977.9,245.39,86
1791.5,245.68,86
1627.9,245.68,86
1407.3,245.39,86
1251.4,245.39,86
1122.1,242.22,86
1011.8,237.33,86
920.47,230.7,86
832.99,221.77,86
772.13,214,86
707.47,204.78,86
635.2,194.41,86
578.15,184.33,86
513.49,171.66,86
464.04,161.29,86
422.2,152.94,86
380.36,140.26,86
342.32,127.88,86
311.89,112.9,86
296.68,101.67,86
289.07,89.286,86
281.47,78.341,86
663.2,108.33,90
667.01,96.264,90
701.32,84.77,90
781.36,70.977,90
865.21,62.644,90
990.99,54.598,90
1132,49.425,90
1284.5,45.69,90
1509.4,42.529,90
1699.9,41.092,90
1905.8,40.23,90
2153.5,40.517,90
2405.1,40.23,90
2633.7,40.23,90
2866.3,40.23,90
3060.6,39.655,90
3312.2,39.943,90
3544.7,40.517,90
3803.9,41.954,90
4032.6,44.828,90
4211.7,49.138,90
4421.3,53.448,90
4596.7,61.782,90
4745.3,68.103,90
4890.2,76.149,90
5008.3,81.897,90
5145.5,91.092,90
5221.8,97.414,90
5355.2,106.9,90
5461.9,117.82,90
5511.4,125.29,90
5709.6,143.39,90
5816.4,159.77,90
5881.2,178.74,90
5919.3,212.36,90
5843,225.86,90
5663.9,231.32,90
5522.9,232.18,90
5469.5,232.76,90
5290.4,232.47,90
5084.5,232.47,90
4924.5,231.61,90
4726.3,232.47,90
4547.1,232.18,90
4379.4,232.47,90
4219.3,232.18,90
4028.8,232.18,90
3864.9,232.18,90
3685.7,232.18,90
3441.8,232.47,90
3175,233.05,90
2995.8,232.76,90
2835.8,232.76,90
2652.8,232.47,90
2458.4,232.76,90
2237.4,232.47,90
2050.6,232.76,90
1921,232.76,90
1730.4,233.33,90
1585.6,233.05,90
1459.8,230.75,90
1318.8,226.44,90
1212.1,217.82,90
1124.4,206.32,90
1025.3,193.68,90
952.88,182.18,90
880.46,169.25,90
804.23,155.75,90
750.87,143.39,90
720.37,133.62,90
689.88,123.28,90
670.82,113.79,90
1031.5,83.621,94
1058.1,75.862,94
1119,68.966,94
1233.2,64.368,94
1385.5,,94
1552.9,58.908,94
1762.3,57.471,94
1929.8,56.609,94
2108.7,56.034,94
2276.1,55.46,94
2436,55.46,94
2607.3,55.747,94
2828,56.034,94
2991.7,56.322,94
3220.1,56.322,94
3471.3,56.897,94
3703.5,57.759,94
3943.3,59.77,94
4156.4,62.931,94
4369.6,68.391,94
4540.8,75,94
4704.5,83.908,94
4833.9,91.092,94
4963.3,100,94
5058.5,107.76,94
5184.1,118.39,94
5298.3,129.02,94
5385.8,138.22,94
5481,148.28,94
5690.3,168.1,94
5766.4,186.21,94
5618,196.84,94
5511.4,200,94
5271.6,200.29,94
5062.3,200.29,94
4860.6,200.86,94
4662.6,200.29,94
4438.1,200.29,94
4175.4,201.15,94
3874.7,201.15,94
3574,201.72,94
3311.4,202.01,94
3071.6,202.3,94
2820.4,202.87,94
2592,202.3,94
2367.5,202.3,94
2169.6,202.01,94
1994.5,199.71,94
1823.2,195.98,94
1655.7,191.95,94
1507.3,186.21,94
1385.5,179.89,94
1267.5,172.13,94
1164.7,161.49,94
1115.2,148.56,94
1084.8,138.79,94
1058.1,127.01,94
1050.5,114.94,94
1046.7,105.17,94
1039.1,94.253,94
1278.9,145.11,95
1301.7,134.2,95
1355,122.99,95
1431.1,111.21,95
1530.1,100.86,95
1632.9,90.805,95
1747.1,81.609,95
1880.3,74.138,95
2040.1,67.816,95
2222.8,64.08,95
2409.3,62.931,95
2588.2,64.08,95
2869.9,66.379,95
3121.1,70.402,95
3330.4,73.276,95
3577.9,77.874,95
3832.9,83.621,95
4046,88.793,95
4251.6,95.402,95
4426.6,101.72,95
4563.7,107.76,95
4693.1,116.38,95
4750.2,128.16,95
4696.9,139.66,95
4556.1,148.56,95
4441.9,153.16,95
4255.4,158.05,95
4095.5,160.92,95
3920.4,163.22,95
3749.1,164.94,95
3555,166.67,95
3338.1,168.1,95
3102.1,169.54,95
2869.9,170.69,95
2675.8,170.4,95
2443.6,171.26,95
2158.1,170.11,95
1948.8,168.39,95
1762.3,166.38,95
1583.4,162.93,95
1434.9,159.77,95
1343.6,155.17,95
1603.5,121.4,96
1611.1,116.8,96
1645.4,110.76,96
1694.9,104.72,96
1759.7,99.252,96
1854.9,92.06,96
1980.6,84.58,96
2094.9,78.826,96
2235.8,75.086,96
2395.8,73.936,96
2605.3,74.511,96
2784.3,75.949,96
2948.1,77.963,96
3115.7,80.265,96
3344.2,83.717,96
3527,87.457,96
3709.8,91.772,96
3843.1,97.526,96
3919.3,105.29,96
3843.1,115.36,96
3690.8,119.97,96
3488.9,122.84,96
3290.9,124.28,96
3123.3,125.14,96
2936.6,126.01,96
2780.5,127.45,96
2612.9,127.73,96
2502.4,128.31,96
2346.3,129.17,96
2193.9,129.75,96
2045.4,129.75,96
1881.6,128.88,96
1725.4,127.45,96
1630.2,125.14,96
